Topic,Subtopic,Pattern,Question,A,B,C,D,Answer,Source
GK,General,Standard MCQ,The Great Wall of China is approximately:,10000 km long,15000 km long,21000 km long,5000 km long,21000 km long,NewDataTxt
GK,General,Standard MCQ,Which country has the most time zones?,Russia,USA,France,Canada,France,NewDataTxt
GK,Polity,Standard MCQ,Newton's First Law is also called:,Law of Gravity,Law of Inertia,Law of Action-Reaction,Law of Momentum,Law of Inertia,NewDataTxt
GK,Science,Standard MCQ,The SI unit of force is:,Joule,Watt,Newton,Pascal,Newton,NewDataTxt
GK,Science,Standard MCQ,The SI unit of energy is:,Watt,Joule,Newton,Calorie,Joule,NewDataTxt
GK,Science,Standard MCQ,The SI unit of power is:,Joule,Newton,Watt,Volt,Watt,NewDataTxt
GK,General,Standard MCQ,The speed of light is approximately:,$3 \times 10^5\text{ m/s}$,$3 \times 10^6\text{ m/s}$,$3 \times 10^8\text{ m/s}$,$3 \times 10^{10}\text{ m/s}$,$3 \times 10^8\text{ m/s}$,NewDataTxt
GK,General,Standard MCQ,The atomic number represents:,Number of neutrons,Number of protons,Sum of protons and neutrons,Number of electrons,Number of protons,NewDataTxt
GK,General,Standard MCQ,The pH of pure water is:,5,6,7,8,7,NewDataTxt
GK,Science,Standard MCQ,The most abundant gas in Earth's atmosphere is:,Oxygen,Carbon Dioxide,Nitrogen,Argon,Nitrogen,NewDataTxt
GK,Science,Standard MCQ,Photosynthesis requires:,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Carbon dioxide,NewDataTxt
GK,General,Standard MCQ,The process by which plants lose water is:,Respiration,Photosynthesis,Transpiration,Absorption,Transpiration,NewDataTxt
GK,Science,Standard MCQ,Blood groups were discovered by:,William Harvey,Karl Landsteiner,Robert Hooke,Louis Pasteur,Karl Landsteiner,NewDataTxt
GK,General,Standard MCQ,Penicillin was discovered by:,Louis Pasteur,Alexander Fleming,Edward Jenner,Robert Koch,Alexander Fleming,NewDataTxt
GK,General,Standard MCQ,The normal body temperature of a human is:,$35^\circ\text{C}$,$37^\circ\text{C}$,$39^\circ\text{C}$,$40^\circ\text{C}$,$37^\circ\text{C}$,NewDataTxt
GK,General,Standard MCQ,Insulin is produced in:,Liver,Thyroid,Pancreas,Kidney,Pancreas,NewDataTxt
GK,Science,Standard MCQ,The disease caused by deficiency of Vitamin D is:,Scurvy,Beriberi,Rickets,Night Blindness,Rickets,NewDataTxt
GK,Science,Standard MCQ,The disease caused by deficiency of Vitamin C is:,Rickets,Scurvy,Beriberi,Goitre,Scurvy,NewDataTxt
GK,General,Standard MCQ,DNA stands for:,Ribonucleic Acid,Deoxyribonucleic Acid,Deoxyribonucleic Atom,Dinucleic Acid,Deoxyribonucleic Acid,NewDataTxt
GK,Science,Standard MCQ,The smallest bone in human body is:,Femur,Stapes (in ear),Humerus,Clavicle,Stapes (in ear),NewDataTxt
GK,Science,Standard MCQ,The largest bone in human body is:,Femur,Stapes,Tibia,Skull bone,Femur,NewDataTxt
GK,General,Standard MCQ,Glucose is a type of:,Protein,Fat,Carbohydrate,Vitamin,Carbohydrate,NewDataTxt
GK,General,Standard MCQ,Hemoglobin contains:,Calcium,Iron,Magnesium,Copper,Iron,NewDataTxt
GK,Science,Standard MCQ,The study of fungi is called:,Phycology,Mycology,Virology,Bacteriology,Mycology,NewDataTxt
GK,Science,Standard MCQ,The study of viruses is called:,Mycology,Virology,Phycology,Zoology,Virology,NewDataTxt
GK,Science,Standard MCQ,White blood cells are also called:,Erythrocytes,Leucocytes,Thrombocytes,Plasma,Leucocytes,NewDataTxt
GK,Science,Standard MCQ,Red blood cells are also called:,Erythrocytes,Leucocytes,Thrombocytes,Lymphocytes,Erythrocytes,NewDataTxt
GK,Science,Standard MCQ,The respiratory organ in fish is called:,Lungs,Gills,Skin,Trachea,Gills,NewDataTxt
GK,General,Standard MCQ,Chlorophyll gives plants their:,Red colour,Yellow colour,Green colour,Blue colour,Green colour,NewDataTxt
GK,Geography,Standard MCQ,The largest planet in our solar system is:,Saturn,Earth,Jupiter,Neptune,Jupiter,NewDataTxt
GK,Geography,Standard MCQ,The hottest planet is:,Mercury,Venus,Mars,Jupiter,Venus,NewDataTxt
GK,Polity,Standard MCQ,The concept of Fundamental Rights is borrowed from:,UK,USA,USSR,Ireland,USA,NewDataTxt
GK,Polity,Standard MCQ,The concept of parliamentary system is borrowed from:,USA,UK,Canada,Australia,UK,NewDataTxt
GK,General,Standard MCQ,GST was implemented in India in:,2014,2016,2017,2019,2017,NewDataTxt
GK,General,Standard MCQ,The headquarter of IMF is in:,New York,Geneva,Washington DC,Paris,Washington DC,NewDataTxt
GK,General,Standard MCQ,The headquarter of world bank is in:,London,Washington DC,Geneva,New York,Washington DC,NewDataTxt
GK,General,Standard MCQ,UNESCO headquarters is in:,Geneva,New York,Paris,Rome,Paris,NewDataTxt
GK,General,Standard MCQ,UNICEF works for:,Women,Children,Refugees,Elderly,Children,NewDataTxt
GK,General,Standard MCQ,WHO stands for:,World Health Organization,World Housing Organization,World Human Organization,World Trade Organization,World Health Organization,NewDataTxt
GK,Sports,Standard MCQ,The Olympic games are held every:,2 years,3 years,4 years,5 years,4 years,NewDataTxt
GK,Sports,Standard MCQ,Cricket world cup is held every:,2 years,4 years,5 years,3 years,4 years,NewDataTxt
GK,General,Standard MCQ,The currency of China is:,Yen,Yuan,Won,Baht,Yuan,NewDataTxt
GK,General,Standard MCQ,The currency of UK is:,Dollar,Euro,Pound,Yen,Pound,NewDataTxt
GK,History,Standard MCQ,The Nobel Prize is awarded in how many categories:,4,5,6,7,6,NewDataTxt
GK,History,Standard MCQ,The highest civilian award in India is:,Padma Vibhushan,Bharat Ratna,Param Vir Chakra,National Award,Bharat Ratna,NewDataTxt
GK,History,Standard MCQ,The Param Vir Chakra is awarded for:,Sports Excellence,Civil Service,Military Bravery,Scientific Achievement,Military Bravery,NewDataTxt
GK,History,Standard MCQ,The Arjuna awards is for excellence in:,Literature,Sports,Science,Social Work,Sports,NewDataTxt
GK,Geography,Standard MCQ,The capital of Australia is:,Sydney,Melbourne,Canberra,Brisbane,Canberra,NewDataTxt
GK,Geography,Standard MCQ,The capital of Canada is:,Toronto,Vancouver,Ottawa,Montreal,Ottawa,NewDataTxt
GK,Geography,Standard MCQ,The capital of Brazil is:,Rio de Janeiro,São Paulo,Brasilia,Buenos Aires,Brasilia,NewDataTxt
GK,Geography,Standard MCQ,The Capital of south Africa is:,Johannesburg,Pretoria,Cape Town,Durban,Cape Town,NewDataTxt
GK,General,Standard MCQ,The smallest country in the world is:,Monaco,Vatican City,Nauru,San Marino,Vatican City,NewDataTxt
GK,General,Standard MCQ,The largest country by area is:,Canada,China,USA,Russia,Russia,NewDataTxt
GK,General,Standard MCQ,The most populous country is:,China,India,USA,Indonesia,India,NewDataTxt
GK,General,Standard MCQ,The Statue of Liberty is in:,Washington D.C.,New York,Paris,London,New York,NewDataTxt
GK,General,Standard MCQ,The Eiffel Tower is in:,London,Berlin,Paris,Rome,Paris,NewDataTxt
GK,General,Standard MCQ,The Pyramids are in:,Greece,Italy,Mexico,Egypt,Egypt,NewDataTxt
GK,General,Standard MCQ,Big Ben is in:,Paris,London,New York,Rome,London,NewDataTxt
GK,General,Standard MCQ,The Colosseum is in:,Rome,Paris,Athens,London,Rome,NewDataTxt
GK,General,Standard MCQ,Machu Picchu is in:,Peru,Mexico,Brazil,Bolivia,Peru,NewDataTxt
GK,General,Standard MCQ,Petra is in:,Egypt,Jordan,Turkey,Greece,Jordan,NewDataTxt
GK,General,Standard MCQ,The Christ Redeemer is in:,Brazil,Argentina,Mexico,Spain,Brazil,NewDataTxt
GK,General,Standard MCQ,The leaning Tower is in:,Rome,Pisa,Venice,Florence,Pisa,NewDataTxt
GK,Geography,Standard MCQ,The Amazon river is in:,North America,South America,Africa,Asia,South America,NewDataTxt
GK,Geography,Standard MCQ,The Nile river is in:,South America,Africa,Asia,Europe,Africa,NewDataTxt
GK,General,Standard MCQ,Antarctica is governed by:,United Nations,Antarctic Treaty,USA,No governing body,Antarctic Treaty,NewDataTxt
GK,General,Standard MCQ,Greenland belongs to:,Canada,Denmark,Norway,Iceland,Denmark,NewDataTxt
GK,General,Standard MCQ,The Bermuda Triangle is in:,Pacific ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,Atlantic Ocean,NewDataTxt
GK,History,Standard MCQ,The United Nations was founded in:,1945,1919,1950,1947,1945,NewDataTxt
GK,Science,Standard MCQ,The study of weather is:,Meteorology,Climatology,Geology,Astrology,Meteorology,NewDataTxt
GK,General,Standard MCQ,Acid rain is caused by:,Water pollution,Air pollution,Soil pollution,Noise pollution,Air pollution,NewDataTxt
GK,General,Standard MCQ,Deforestation leads to:,More rainfall,Less rainfall,Soil enrichment,Increased oxygen levels,Less rainfall,NewDataTxt
GK,General,Standard MCQ,WWF stands for:,World Wildlife Fund,World Water Forum,World Welfare Federation,World Wide Forest,World Wildlife Fund,NewDataTxt
GK,General,Standard MCQ,Earth Day is celebrated on:,22 April,5 June,21 March,16 September,22 April,NewDataTxt
GK,General,Standard MCQ,CFC damages:,Ozone layer,Biosphere,Hydrosphere,Lithosphere,Ozone layer,NewDataTxt
GK,General,Standard MCQ,Smog is a combination of:,Smoke and fog,Smoke and dust,Fog and rain,Dust and water vapor,Smoke and fog,NewDataTxt
GK,General,Standard MCQ,Red Data Book contains information about:,Endangered species,Extinct species only,Red Sea biodiversity,Soil erosion data,Endangered species,NewDataTxt
GK,General,Standard MCQ,Project Tiger was launched in:,1973,1972,1980,1992,1973,NewDataTxt
GK,General,Standard MCQ,National pollution control Day is on:,2nd December,5th June,16th September,22nd April,2nd December,NewDataTxt
GK,History,Standard MCQ,Chipko Movement was related to:,Water conservation,Forest Conservation,Soil preservation,Wildlife Protection,Forest Conservation,NewDataTxt
GK,General,Standard MCQ,Van Mahotsav is related to:,Tree planting,Forest harvesting,Wildlife tourism,Agricultural harvest,Tree planting,NewDataTxt
GK,General,Standard MCQ,Wildlife protection Act was passed in:,1972,1980,1986,1991,1972,NewDataTxt
GK,Polity,Standard MCQ,Father of Indian Constitution:,B.R. Ambedkar,Mahatma Gandhi,Jawaharlal Nehru,Rajendra Prasad,B.R. Ambedkar,NewDataTxt
GK,General,Standard MCQ,National song of India:,Jana Gana Mana,Vande Mataram,Sare Jahan Se Achha,Ae Mere Watan Ke Logon,Vande Mataram,NewDataTxt
GK,General,Standard MCQ,ISRO headquarters is in:,New Delhi,Bangalore,Mumbai,Chennai,Bangalore,NewDataTxt
GK,General,Standard MCQ,India's first satellite was:,Aryabhata,Bhaskara,Rohini,INSAT-1A,Aryabhata,NewDataTxt
GK,General,Standard MCQ,Metro Man of India is:,E. Sreedharan,M. Visvesvaraya,Verghese Kurien,C.R. Rao,E. Sreedharan,NewDataTxt
GK,General,Standard MCQ,Digital India was launched in:,2015,2014,2016,2019,2015,NewDataTxt
GK,General,Standard MCQ,Swachh Bharat Mission was launched in:,2014,2015,2019,2012,2014,NewDataTxt
GK,General,Standard MCQ,Make in India was launched in:,2014,2015,2016,2018,2014,NewDataTxt
GK,General,Standard MCQ,Skill India Mission was launched in:,2014,2015,2016,2018,2015,NewDataTxt
GK,General,Standard MCQ,The first Indian woman in space was:,Kalpana Chawla,Sunita Williams,Shawna Pandya,Tessy Thomas,Kalpana Chawla,NewDataTxt
GK,Geography,Standard MCQ,Largest state in India by area:,Madhya Pradesh,Maharashtra,Rajasthan,Uttar Pradesh,Rajasthan,NewDataTxt
GK,Geography,Standard MCQ,Smallest state in India by area:,Goa,Sikkim,Tripura,Mizoram,Goa,NewDataTxt
GK,History,Standard MCQ,Who invented the telephone?,Thomas Edison,Alexander Graham Bell,Nikola Tesla,Guglielmo Marconi,Alexander Graham Bell,NewDataTxt
GK,Science,Standard MCQ,Lightest gas is:,Helium,Hydrogen,Nitrogen,Oxygen,Hydrogen,NewDataTxt
GK,Geography,Standard MCQ,"Which animal is known as the ""ship of the Desert""?",Camel,Horse,Donkey,Yak,Camel,NewDataTxt
GK,General,Standard MCQ,Who discovered gravity?,Albert Einstein,Isaac Newton,Galileo Galilei,Nicolaus Copernicus,Isaac Newton,NewDataTxt
GK,Science,Standard MCQ,How many bones in human body?,204,206,208,210,206,NewDataTxt
GK,Geography,Standard MCQ,Capital of Japan:,Kyoto,Osaka,Tokyo,Hiroshima,Tokyo,NewDataTxt
GK,Geography,Standard MCQ,Highest mountain peak in the world:,K2,Kanchenjunga,Mount Everest,Lhotse,Mount Everest,NewDataTxt
GK,Geography,Standard MCQ,Capital of France:,Paris,Lyon,Marseille,Nice,Paris,NewDataTxt
GK,General,Standard MCQ,Smallest continent:,Europe,Antarctica,Australia,South America,Australia,NewDataTxt
GK,Geography,Standard MCQ,Capital of China:,Shanghai,Beijing,Guangzhou,Shenzhen,Beijing,NewDataTxt
GK,General,Standard MCQ,What is the boiling point of water?,$90^\circ\text{C}$,$100^\circ\text{C}$,$110^\circ\text{C}$,$120^\circ\text{C}$,$100^\circ\text{C}$,NewDataTxt
GK,General,Standard MCQ,Who wrote 'Discovery of India'?,Mahatma Gandhi,Jawaharlal Nehru,Rabindranath Tagore,Subhash Chandra Bose,Jawaharlal Nehru,NewDataTxt
GK,General,Standard MCQ,Who discovered the bulb?,Nikola Tesla,Thomas Alva Edison,Benjamin Franklin,Alexander Graham Bell,Thomas Alva Edison,NewDataTxt
GK,Meghalaya,Standard MCQ,Hardest natural substance:,Gold,Iron,Diamond,Platinum,Diamond,NewDataTxt
GK,General,Standard MCQ,Which country gifted Statue of Liberty to USA?,United Kingdom,France,Germany,Italy,France,NewDataTxt
GK,General,Standard MCQ,'Land of Rising sun' is:,Norway,Japan,Australia,Canada,Japan,NewDataTxt
GK,General,Standard MCQ,Largest animal on land:,Blue whale,Elephant,Giraffe,Hippopotamus,Elephant,NewDataTxt
GK,General,Standard MCQ,Largest mammal:,Blue whale,Elephant,Giraffe,Killer Whale,Blue whale,NewDataTxt
GK,Sports,Standard MCQ,How many players in a cricket team?,9,10,11,12,11,NewDataTxt
GK,Geography,Standard MCQ,Capital of Russia:,Saint Petersburg,Moscow,Novosibirsk,Vladivostok,Moscow,NewDataTxt
GK,General,Standard MCQ,Which festival is of lights?,Holi,Diwali,Dussehra,Eid,Diwali,NewDataTxt
GK,General,Standard MCQ,Which festival is of colours?,Diwali,Holi,Raksha Bandhan,Onam,Holi,NewDataTxt
GK,Polity,Standard MCQ,Constitution of India came into effect on:,1947,1950,1952,1949,1950,NewDataTxt
GK,General,Standard MCQ,Who is known as the 'Missile Man of India'?,Homi J. Bhabha,Vikram Sarabhai,APJ Abdul Kalam,Satish Dhawan,APJ Abdul Kalam,NewDataTxt
GK,General,Standard MCQ,Sun rises in the:,East,West,North,South,East,NewDataTxt
GK,General,Standard MCQ,Sun sets in the:,East,West,North,South,West,NewDataTxt
GK,Science,Standard MCQ,Which organ pumps blood?,Lungs,Heart,Liver,Kidneys,Heart,NewDataTxt
GK,General,Standard MCQ,Fastest animal on earth:,Lion,Cheetah,Leopard,Tiger,Cheetah,NewDataTxt
GK,General,Standard MCQ,Tallest animal:,Elephant,Giraffe,Ostrich,Camel,Giraffe,NewDataTxt
GK,History,Standard MCQ,King of Jungle is:,Tiger,Lion,Elephant,Cheetah,Lion,NewDataTxt
GK,General,Standard MCQ,Which bird lays largest egg?,Eagle,Ostrich,Peacock,Albatross,Ostrich,NewDataTxt
GK,General,Standard MCQ,Which part of plant is underground?,Stem,Root,Leaf,Flower,Root,NewDataTxt
GK,General,Standard MCQ,Gateway of India is in:,New Delhi,Mumbai,Kolkata,Chennai,Mumbai,NewDataTxt
GK,General,Standard MCQ,India Gate is in:,Mumbai,New Delhi,Kolkata,Hyderabad,New Delhi,NewDataTxt
GK,Geography,Standard MCQ,Capital of U.S.A:,New York,Washington D.C.,Los Angeles,Chicago,Washington D.C.,NewDataTxt
GK,Geography,Standard MCQ,Which planet has rings:,Mars,Saturn,Jupiter,Uranus,Saturn,NewDataTxt
GK,General,Standard MCQ,Largest democracy in the world:,USA,India,China,Brazil,India,NewDataTxt
GK,General,Standard MCQ,Smallest bird:,Sparrow,Humming Bird,Robin,Parrot,Humming Bird,NewDataTxt
GK,General,Standard MCQ,National Tree of India:,Neem Tree,Banyan Tree,Peepal Tree,Mango Tree,Banyan Tree,NewDataTxt
GK,General,Standard MCQ,Who designed Indian National Flag?,Rabindranath Tagore,Pingali Venkayya,Mahatma Gandhi,Bankim Chandra Chatterjee,Pingali Venkayya,NewDataTxt
GK,General,Standard MCQ,'Vande Mataram' is written by:,Rabindranath Tagore,Bankim Chandra Chatterjee,Sarojini Naidu,Subhash Chandra Bose,Bankim Chandra Chatterjee,NewDataTxt
GK,General,Standard MCQ,Golden Temple is in:,Amritsar,Ludhiana,Jalandhar,Chandigarh,Amritsar,NewDataTxt
GK,General,Standard MCQ,Charminar is in:,Bengaluru,Hyderabad,Chennai,Mysore,Hyderabad,NewDataTxt
GK,Meghalaya,Standard MCQ,Longest river in Meghalaya:,Simsang,Umngot,Myntdu,Kopili,Simsang,NewDataTxt
GK,General,Standard MCQ,Nokrek National park is famous for:,Tiger,Red panda,Elephant,One-horned Rhinoceros,Red panda,NewDataTxt
GK,Meghalaya,Standard MCQ,Which plateau is Meghalaya part of:,Deccan Plateau,Shillong plateau,Chota Nagpur Plateau,Malwa Plateau,Shillong plateau,NewDataTxt
GK,Meghalaya,Standard MCQ,Highest peak in Meghalaya:,Nokrek Peak,Shillong peak,Kyllang Rock,Jupgli Peak,Shillong peak,NewDataTxt
GK,General,Standard MCQ,"Which waterfall is also known as ""seven sister falls""?",Nohkalikai Falls,Nohsngithiang Falls,Kynrem Falls,Sweet Falls,Nohsngithiang Falls,NewDataTxt
GK,General,Standard MCQ,'Shad suk Mynsiem' is a:,Harvest Dance,War Dance,Rain Dance,Hunting Dance,Harvest Dance,NewDataTxt
GK,General,Standard MCQ,Balpakram National park is in:,East Khasi Hills,South Garo hills,West Jaintia Hills,Ri-Bhoi,South Garo hills,NewDataTxt
GK,Meghalaya,Standard MCQ,Which cave in Meghalaya is one of the longest in Asia?,Mawmluh Cave,Krem Liat Prah,Mawsmai Cave,Krem Dam,Krem Liat Prah,NewDataTxt
GK,Meghalaya,Standard MCQ,Main crop of Meghalaya is:,Maize,Rice,Wheat,Potato,Rice,NewDataTxt
GK,Meghalaya,Standard MCQ,Who was the first speaker of Meghalaya Assembly?,R.S. Lyngdoh,P.R. Kyndiah,B.G. Momin,E.K. Mawlong,R.S. Lyngdoh,NewDataTxt
GK,Meghalaya,Standard MCQ,State Bird of Meghalaya:,Peacock,Hill Myna,Sparrow,Hornbill,Hill Myna,NewDataTxt
GK,Meghalaya,Standard MCQ,State Flower of Meghalaya:,Lotus,Lady's slipper Orchid,Rhododendron,Foxtail Orchid,Lady's slipper Orchid,NewDataTxt
GK,Meghalaya,Standard MCQ,State Tree of Meghalaya:,Teak,Gamhar (Dieng Lophyiang),Pine,Sal,Gamhar (Dieng Lophyiang),NewDataTxt
GK,Meghalaya,Standard MCQ,Where is the Butterfly Museum located in Meghalaya?,Tura,Shillong,Jowai,Sohra,Shillong,NewDataTxt
GK,Meghalaya,Standard MCQ,Total area of Meghalaya is approximately:,"$21,429\text{ sq. km}$","$22,429\text{ sq. km}$","$23,429\text{ sq. km}$","$24,429\text{ sq. km}$","$22,429\text{ sq. km}$",NewDataTxt
GK,General,Standard MCQ,World's longest sandstone cave 'krempuri' is in:,Cherrapunji,Mawsynram,Jowai,Tura,Mawsynram,NewDataTxt
GK,General,Standard MCQ,'Monoliths' are associated with:,Garo Culture,Khasi Culture,Jaintia Culture,Rabha Culture,Khasi Culture,NewDataTxt
GK,Meghalaya,Standard MCQ,The Khasi language belongs to which family?,Tibeto-Burman,Mon-Khmer,Indo-Aryan,Dravidian,Mon-Khmer,NewDataTxt
GK,Meghalaya,Standard MCQ,The Garo language belongs to which family?,Mon-Khmer,Tibeto-Burman,Indo-Aryan,Austroasiatic,Tibeto-Burman,NewDataTxt
GK,Meghalaya,Standard MCQ,Who is the first woman chief secretary of Meghalaya?,R.Y. Suchiang,P.D. Shira,I. Tariang,M.N. Nampui,R.Y. Suchiang,NewDataTxt
GK,Meghalaya,Standard MCQ,First Padma Shri awardee from Meghalaya in Arts:,Neil Nongkynrih,Helen Giri,Silverine Swer,Patricia Mukhim,Neil Nongkynrih,NewDataTxt
GK,Geography,Standard MCQ,Capital of Bhutan:,Kathmandu,Thimphu,Dhaka,Colombo,Thimphu,NewDataTxt
GK,General,Standard MCQ,Who is 'Flying Sikh'?,Milkha Singh,Harbhajan Singh,Navjot Singh Sidhu,Abhinav Bindra,Milkha Singh,NewDataTxt
GK,Science,Standard MCQ,Study of universe is called:,Astronomy,Cosmology,Astrology,Meteorology,Cosmology,NewDataTxt
GK,Science,Standard MCQ,Which gas is used in balloons?,Hydrogen,Helium,Nitrogen,Oxygen,Helium,NewDataTxt
GK,General,Standard MCQ,Deficiency of Iron causes:,Scurvy,Anaemia,Goitre,Rickets,Anaemia,NewDataTxt
GK,General,Standard MCQ,Headquarters of UN is in:,Geneva,New York,Paris,London,New York,NewDataTxt
GK,General,Standard MCQ,Purest form of gold is:,18 carat,22 carat,24 carat,20 carat,24 carat,NewDataTxt
GK,Geography,Standard MCQ,Capital of Mizoram:,Imphal,Aizawl,Kohima,Gangtok,Aizawl,NewDataTxt
GK,Geography,Standard MCQ,Capital of Nagaland:,Shillong,Kohima,Dimapur,Itanagar,Kohima,NewDataTxt
GK,Geography,Standard MCQ,Capital of Manipur:,Imphal,Aizawl,Agartala,Kohima,Imphal,NewDataTxt
GK,Geography,Standard MCQ,Capital of Arunachal Pradesh:,Dispur,Itanagar,Gangtok,Imphal,Itanagar,NewDataTxt
GK,Geography,Standard MCQ,Capital of Tripura:,Agartala,Aizawl,Imphal,Kohima,Agartala,NewDataTxt
GK,Geography,Standard MCQ,Capital of Sikkim:,Imphal,Gangtok,Shillong,Kohima,Gangtok,NewDataTxt
GK,Geography,Standard MCQ,Majuli Island is in which river?,Ganga,Brahmaputra,Yamuna,Godavari,Brahmaputra,NewDataTxt
GK,Polity,Standard MCQ,Hornbill festival is celebrated in:,Assam,Nagaland,Manipur,Mizoram,Nagaland,NewDataTxt
GK,General,Standard MCQ,Bihu is festival of:,Assam,Nagaland,Tripura,Manipur,Assam,NewDataTxt
GK,Polity,Standard MCQ,Who is Governor of RBI?,Shaktikanta Das,Sanjay Malhotra,Urjit Patel,Raghuram Rajan,Sanjay Malhotra,NewDataTxt
GK,History,Standard MCQ,Jallianwala Bagh massacre year:,1915,1919,1921,1928,1919,NewDataTxt
GK,General,Standard MCQ,'Do or Die' slogan given by:,Subhash Chandra Bose,Mahatma Gandhi,Bhagat Singh,Jawaharlal Nehru,Mahatma Gandhi,NewDataTxt
GK,Geography,Standard MCQ,Sardar Sarovar Dam is on which river?,Ganga,Narmada,Mahanadi,Godavari,Narmada,NewDataTxt
GK,General,Standard MCQ,Statue of Unity is in:,Maharashtra,Gujarat,Rajasthan,Madhya Pradesh,Gujarat,NewDataTxt
GK,General,Standard MCQ,Gir National Park is famous for:,Bengal Tiger,Asiatic Lion,One-horned Rhino,Elephant,Asiatic Lion,NewDataTxt
GK,Geography,Standard MCQ,Capital of Germany:,Paris,Berlin,Munich,Frankfurt,Berlin,NewDataTxt
GK,Meghalaya,Standard MCQ,How many autonomous district councils are there in Meghalaya?,2,3,4,5,3,NewDataTxt
GK,Meghalaya,Standard MCQ,The first election to the Meghalaya Legislative Assembly was held in:,1970,1972,1975,1980,1972,NewDataTxt
GK,Meghalaya,Standard MCQ,Who was the first chief secretary of Meghalaya?,N.K. Rustomji,R.V. Lyngdoh,K.S. Rao,H.W.T. Syiem,N.K. Rustomji,NewDataTxt
GK,General,Standard MCQ,Siju Bird Sanctuary is located in which district?,West Garo Hills,South Garo Hills,East Garo Hills,South West Garo Hills,South Garo Hills,NewDataTxt
GK,Meghalaya,Standard MCQ,Where is the 'pitcher plant' mainly found in Meghalaya?,Jaintia Hills,Garo Hills,Khasi Hills,Ri-Bhoi,Jaintia Hills,NewDataTxt
GK,Meghalaya,Standard MCQ,Scientific name of pitcher plant found in Meghalaya:,Nepenthes khasiana,Nepenthes alata,Nepenthes mirabilis,Nepenthes rafflesiana,Nepenthes khasiana,NewDataTxt
GK,General,Standard MCQ,'Shad Nongkrem' is associated with which deity?,Ka Blei Synshar,U Blei Nongthaw,U Ryngkew,Ka Meikha,Ka Blei Synshar,NewDataTxt
GK,Meghalaya,Standard MCQ,The Jaintia kingdom was also known as:,Jaintiapur kingdom,Sutnga kingdom,Khasi-Jaintia kingdom,Synshiang kingdom,Sutnga kingdom,NewDataTxt
GK,General,Standard MCQ,Death Anniversary of U Tirot Sing Syiem is observed on:,July 17,August 15,December 30,October 2,July 17,NewDataTxt
GK,General,Standard MCQ,Death Anniversary of U Kiang Nangbah is observed on:,July 17,December 30,October 2,January 26,December 30,NewDataTxt
GK,General,Standard MCQ,Pa Togan Sangma died on:,"December 12, 1872","July 17, 1872","December 30, 1872","August 15, 1872","December 12, 1872",NewDataTxt
GK,Geography,Standard MCQ,Which river island is the second largest in Asia?,Majuli Island,Nongkhnum Island,Srirangam Island,Divar Island,Nongkhnum Island,NewDataTxt
GK,Meghalaya,Standard MCQ,The highest waterfall in Meghalaya is:,Nohsngithiang Falls,Nohkalikai Falls,Elephant Falls,Bishop Falls,Nohkalikai Falls,NewDataTxt
GK,Meghalaya,Standard MCQ,Major mineral found in Meghalaya:,Iron Ore,Coal,Copper,Bauxite,Coal,NewDataTxt
GK,General,Standard MCQ,Uranium deposits are found in:,Domiasiat,Nongstoin,Jowai,Mawkyrwat,Domiasiat,NewDataTxt
GK,General,Standard MCQ,Mawmluh Cave is famous for:,GSI Heritage Tag,Oldest Fossil,Cave Paintings,Deepest Abyss,GSI Heritage Tag,NewDataTxt
GK,Meghalaya,Standard MCQ,Which village in Meghalaya is known as 'Whistling Village'?,Mawlynnong,Kongthong,Nongriat,Laitlyngkot,Kongthong,NewDataTxt
GK,General,Standard MCQ,'Sacred Groves' are found in:,Sohra,Mawphlang,Nongpoh,Tura,Mawphlang,NewDataTxt
GK,Meghalaya,Standard MCQ,The Meghalaya Public Service Commission (MPSC) was established in:,1970,1972,1975,1980,1972,NewDataTxt
GK,Meghalaya,Standard MCQ,First chairman of MPSC Meghalaya:,K.S. Lolla,R.D. Shira,P.S. Lyngdoh,H.K. Sangma,K.S. Lolla,NewDataTxt
GK,Meghalaya,Standard MCQ,Who wrote the famous Khasi book 'Ka Kitab Niam-Khein Ki Khasi'?,Soso Tham,U Rabon Singh,Jeebon Roy,Radhon Singh Berry,U Rabon Singh,NewDataTxt
GK,General,Standard MCQ,'Ki Sngi Barim U Hynniew Trep' was written by:,Soso Tham,U Rabon Singh,Radhon Singh Berry,Jeebon Roy,Soso Tham,NewDataTxt
GK,Meghalaya,Standard MCQ,First Khasi Daily Newspaper:,U Nongsain Hima,Ka Jingshai Mynstep,U Nongkit Khubor,Mawphor,U Nongsain Hima,NewDataTxt
GK,Meghalaya,Standard MCQ,Who is known as 'Father of Khasi Literature'?,Thomas Jones,William Carey,Soso Tham,Jeebon Roy,Thomas Jones,NewDataTxt
GK,Meghalaya,Standard MCQ,Where is the IIM Shillong located?,Laitumkhrah,Umsawli,Mawlai,Nongthymmai,Umsawli,NewDataTxt
GK,Polity,Standard MCQ,Article 244(2) of Constitution is related to:,Special provisions for Jammu & Kashmir,Administration of Tribal areas,Finance Commission,Official Languages,Administration of Tribal areas,NewDataTxt
GK,Geography,Standard MCQ,Largest river island in the world:,Majuli,Nongkhnum,Marajó,Bananal,Majuli,NewDataTxt
