Topic,Subtopic,Pattern,Question,A,B,C,D,Answer,Source
GK,General,Standard MCQ,Who discovered 'Radioactivity'?,Henry Becquerel,Wilhelm Rontgen,Marie Curie,Ernest Rutherford,Henry Becquerel,Lucent
GK,Science,Standard MCQ,Cinnabar is an ore of which metal?,Iron,Copper,Lead,Mercury,Mercury,Lucent
GK,Science,Standard MCQ,Which chemical is used for fruit-ripening?,Acetylene,Carbon Dioxide,Methane,Ethylene,Acetylene,Lucent
GK,General,Standard MCQ,'Giddha' is the famous dance of?,Rajasthan,Haryana,Punjab,Himachal Pradesh,Punjab,Lucent
GK,General,Standard MCQ,Who is the first Indian woman to win Miss Universe?,Reita Faria,Aishwarya Rai,Sushmita Sen,Lara Dutta,Sushmita Sen,Lucent
GK,Science,Standard MCQ,What type of disease is Haemophilia?,Viral Disease,Infectious Disease,Deficiency Disease,Genetic Disease,Genetic Disease,Lucent
GK,Geography,Standard MCQ,Kalibanga is located in which state?,Haryana,Gujarat,Punjab,Rajasthan,Rajasthan,Lucent
GK,Science,Standard MCQ,Minamata disease is caused by?,Arsenic,Mercury,Lead,Lead (Note: Handwritten as 'Lead'),Lead (Note: Handwritten as 'Lead'),Lucent
GK,General,Standard MCQ,In which field is B.C. Roy award given?,Medical,Sports,Science,Literature,Medical,Lucent
GK,General,Standard MCQ,"Layer of a ""capsule"" is made by:",Cellulose,Gelatin,Plastic,Starch,Starch,Lucent
GK,General,Standard MCQ,Twin cities are _______.,Kolkata and Howrah,Delhi and Noida,Mumbai and Pune,Hyderabad and Sikandarabad,Hyderabad and Sikandarabad,Lucent
GK,Geography,Standard MCQ,Bandipur Tiger Reserve is situated in which state?,Andhra Pradesh,Tamil Nadu,Kerala,Karnataka,Karnataka,Lucent
GK,Sports,Standard MCQ,Thomas Cup is related with:,Squash,Badminton,Tennis,Table Tennis,Badminton,Lucent
GK,Science,Standard MCQ,'Canis lupus familiaris' is the scientific name of whom?,Wolf,Cat,Fox,Dog,Dog,Lucent
GK,General,Standard MCQ,Bull Fight conducts in which Country?,France,Spain,Mexico,Portugal,Spain,Lucent
GK,General,Standard MCQ,Kailash Temple is situated in:,Khajuraho,Elephanta,Ajanta,Ellora,Ellora,Lucent
GK,General,Standard MCQ,Who has the power to impose 'Marshal Law'?,Chief Justice,Parliament,Prime Minister,President,President,Lucent
GK,Geography,Standard MCQ,Narmada River is the life line of which state?,Maharashtra,Rajasthan,Gujarat,Madhya Pradesh,Madhya Pradesh,Lucent
GK,History,Standard MCQ,When was Indian National Airways established?,1933,1953,1923,1943,1933,Lucent
GK,General,Standard MCQ,Who was the first commander in chief of Indian Army?,K.M. Kariappa (K.M. Cariappa),Arjan Singh,Sam Manekshaw,Bipin Rawat,K.M. Kariappa (K.M. Cariappa),Lucent
GK,Polity,Standard MCQ,There are how many schedules in Indian constitution?,12,22,10,8,12,Lucent
GK,General,Standard MCQ,Which city is known as Boston of India?,Mumbai,Ahmedabad,Kolkata,Chennai,Ahmedabad,Lucent
GK,General,Standard MCQ,Which city is known as 'City of Roses'?,Jaipur,Lucknow,Chandigarh,Srinagar,Chandigarh,Lucent
GK,General,Standard MCQ,Which is the first Oscar award winning Indian movie?,Lagaan,Salaam Bombay,Mother India,Gandhi (Bhanu Athaiya won Best Costume Design for the movie 'Gandhi' in 1983),Gandhi (Bhanu Athaiya won Best Costume Design for the movie 'Gandhi' in 1983),Lucent
GK,General,Standard MCQ,Who gave Black hole concept in India?,C.V. Raman,S. Chandra Shekhar (Subrahmanyan Chandrasekhar),Homi Bhabha,Vikram Sarabhai,S. Chandra Shekhar (Subrahmanyan Chandrasekhar),Lucent
GK,General,Standard MCQ,What is the currency of Norway?,Krone,Dollar,Euro,Pound,Krone,Lucent
GK,Geography,Standard MCQ,Which is the twin planet of Earth?,Mars,Uranus,Mercury,Venus,Venus,Lucent
GK,Geography,Standard MCQ,Which state is known as sleeping state of India?,Rajasthan,"Madhya Pradesh (Due to high soy production, often called 'Soy State' or sleeping state)",Uttar Pradesh,Maharashtra,"Madhya Pradesh (Due to high soy production, often called 'Soy State' or sleeping state)",Lucent
GK,General,Standard MCQ,Bridge of Adam is between:,India and Bangladesh,India and Myanmar,India and Srilanka,India and Maldives,India and Srilanka,Lucent
GK,General,Standard MCQ,Which is the first english translated movie in India?,Noorjahan,Devdas,Raja Harishchandra,Alam Ara,Noorjahan,Lucent
GK,Computer,Standard MCQ,Who is the inventor of WWW?,Steve Jobs,Bill Gates,Vint Cerf,Tim Berners Lee,Tim Berners Lee,Lucent
GK,History,Standard MCQ,Who is known as the king of justice?,Shah Jahan,Aurangzeb,Akbar,Jahanger (Jahangir),Jahanger (Jahangir),Lucent
GK,General,Standard MCQ,'Natraj Temple' is situated in:,Madurai,Chidambaram,Tanjore,Rameshwaram,Chidambaram,Lucent
GK,General,Standard MCQ,Who is the chairman of Rajya Sabha?,Prime Minister,Vice-President,Speaker of Lok Sabha,President,Vice-President,Lucent
GK,General,Standard MCQ,pH value of urine:,8.0,6.0,7.0,5.0,6.0,Lucent
GK,Geography,Standard MCQ,Which State is the highest producer of Eggs?,Karnataka,Punjab,Tamil Nadu,Andhra Pradesh,Andhra Pradesh,Lucent
GK,General,Standard MCQ,Who is the inventor of diesel engine?,Thomas Edison,George Stephenson,James Watt (Note: Written as 'James Watt'),James Watt,James Watt (Note: Written as 'James Watt'),Lucent
GK,General,Standard MCQ,In which year Taj Mahal construction has been completed?,1660 AD,1658 AD,1648 AD,1653 AD,1653 AD,Lucent
GK,General,Standard MCQ,AIDS day celebrated in:,1st December,1st September,1st October,1st November,1st December,Lucent
GK,Geography,Standard MCQ,Which is the highest lake of the world?,Victoria,Baikal,Tanganyika,Titicaca,Titicaca,Lucent
GK,General,Standard MCQ,What is the fuel of future?,Methane,Nitrogen,Hydrogen,Helium,Hydrogen,Lucent
GK,General,Standard MCQ,Which country is known as 'land of Thunder Bolt'?,Bhutan,Tibet,Nepal,Myanmar,Bhutan,Lucent
GK,General,Standard MCQ,Who is first lady IAS officer?,Arundhati Roy,Anna George (Anna Rajam Malhotra),Kiran Bedi,Sarojini Naidu,Anna George (Anna Rajam Malhotra),Lucent
GK,Geography,Standard MCQ,Which state is the highest producer of coffee in India?,Andhra Pradesh,Kerala,Tamil Nadu,Karnataka,Karnataka,Lucent
GK,General,Standard MCQ,Who abolished slavery system in India?,Humayun,Shah Jahan,Babur,Akbar,Akbar,Lucent
GK,Polity,Standard MCQ,There are how many judges in supreme court?,35,30,34,31,34,Lucent
GK,General,Standard MCQ,World Tourism day:,27 October,27 August,27 November,27 September,27 September,Lucent
GK,Polity,Standard MCQ,Which article belongs to 'Impeachment of President'?,Article 356,Article 61,Article 52,Article 72,Article 61,Lucent
GK,History,Standard MCQ,In which year Mumbai High Court was established?,1862,1857,1882,1872,1862,Lucent
GK,General,Standard MCQ,Which is the largest mosque in India?,Taj-ul-Masajid,Jama Masjid,Mecca Masjid,Hazratbal,Jama Masjid,Lucent
GK,General,Standard MCQ,Who was the first Indian to be elected as member of British Parliament?,Gopal Krishna Gokhale,Dinshaw Wacha,D.B. Naoroji (Dadabhai Naoroji),W.C. Banerjee,D.B. Naoroji (Dadabhai Naoroji),Lucent
GK,Geography,Standard MCQ,Which state is the highest producer of Mango?,Uttar Pradesh,Maharashtra,Bihar,Andhra Pradesh,Uttar Pradesh,Lucent
GK,General,Standard MCQ,Which city is the main industrial area of diamond cutting?,Surat,Mumbai,Ahmedabad (Note: Written as 'Ahmedabad'),Ahmedabad,Ahmedabad (Note: Written as 'Ahmedabad'),Lucent
GK,History,Standard MCQ,Who established 'Nalanda University'?,Chandragupta II,Skandagupta,Kumar Gupta (Kumaragupta I),Samudragupta,Kumar Gupta (Kumaragupta I),Lucent
GK,Geography,Standard MCQ,Which state is the highest producer of Guava?,Bihar,West Bengal,Jharkhand,Uttar Pradesh,Jharkhand,Lucent
GK,Geography,Standard MCQ,Which is the smallest ocean in the world?,Indian Ocean,Pacific Ocean,Southern Ocean,Arctic Ocean,Arctic Ocean,Lucent
GK,Science,Standard MCQ,'Tocopherol' is the chemical name of:,Vitamin E,Vitamin A,Vitamin K,Vitamin C,Vitamin E,Lucent
GK,Geography,Standard MCQ,Which state is the highest producer of peanuts?,Maharashtra,Rajasthan,Gujarat,Andhra Pradesh,Gujarat,Lucent
GK,Geography,Standard MCQ,Which state is the highest producer of onion?,Madhya Pradesh,Gujarat,Uttar Pradesh,Maharashtra,Maharashtra,Lucent
GK,General,Standard MCQ,When oral polio vaccine came into use?,1955,1961,1970,1965,1961,Lucent
GK,Sports,Standard MCQ,What is the length of Cricket pitch?,60 feet,66 feet (22 yards),75 feet,70 feet,66 feet (22 yards),Lucent
GK,General,Standard MCQ,Which Country is known as Bowl of sugar?,India,USA,Brazil,Cuba,Cuba,Lucent
GK,Geography,Standard MCQ,Which is the smallest river in the world?,Congo river,Roe river,Amazon river,Nile river,Roe river,Lucent
GK,General,Standard MCQ,Which is the largest district of India?,Barmer,Leh,Jaisalmer,Kutch,Kutch,Lucent
GK,General,Standard MCQ,Which is the country of snakes?,India,Brazil,Australia,South Africa,Brazil,Lucent
GK,General,Standard MCQ,Which city is known as Garden of India?,Bangalore,Pune,Chandigarh (Note: Written as 'Chandigarh'),Mysore,Chandigarh (Note: Written as 'Chandigarh'),Lucent
GK,General,Standard MCQ,Which city is known as 'city of glutton'?,Bhopal,Ujjain,Indore,Gwalior,Indore,Lucent
GK,General,Standard MCQ,Which is the smallest district of India?,Yanam,Lakshadweep,Diu,Mahe,Mahe,Lucent
GK,General,Standard MCQ,Borlaug Award is related to which field?,Medicine,Journalism,Science,Agriculture,Agriculture,Lucent
GK,Science,Standard MCQ,There are how many bones in human head?,8 bones (Note: Written as '8 bones'),14 bones,20 bones,8 bones,8 bones (Note: Written as '8 bones'),Lucent
GK,Geography,Standard MCQ,Which city is known as capital of cotton clothes?,Mumbai,Surat,Coimbatore,Ahmedabad,Mumbai,Lucent
GK,Sports,Standard MCQ,Wimbledon Trophy is related to which sport?,Lawn Tennis,Table Tennis,Squash,Badminton,Lawn Tennis,Lucent
GK,General,Standard MCQ,Which is the longest indoor stadium of India?,Talkatora Stadium,Netaji Indoor Stadium,"Indira Gandhi Stadium (Indira Gandhi Indoor Arena, Delhi)",Salt Lake Stadium,"Indira Gandhi Stadium (Indira Gandhi Indoor Arena, Delhi)",Lucent
GK,General,Standard MCQ,What is the currency of 'slovakia'?,Krone,Euro,Dollar,Koruna,Euro,Lucent
GK,General,Standard MCQ,The official government documents of India is known as:,Blue Book,Green Paper,White Paper,Yellow Book,White Paper,Lucent
GK,Geography,Standard MCQ,Kuchipudi dance belongs to which state?,Kerala,Karnataka,Tamil Nadu,Andhra Pradesh,Andhra Pradesh,Lucent
GK,General,Standard MCQ,What is the previous name of Lucknow?,Lucknow,Lakshmanpur,Lakhnauti (Note: Written as 'Lakhnauti'),Lakhnauti,Lakhnauti (Note: Written as 'Lakhnauti'),Lucent
GK,Geography,Standard MCQ,Which state is the highest producer of silk?,Tamil Nadu,Andhra Pradesh,West Bengal,Karnataka,Karnataka,Lucent
GK,Sports,Standard MCQ,Ryder cup is related to which sport?,Tennis,Golf,Cricket,Polo,Golf,Lucent
GK,General,Standard MCQ,What protocol is used in data transfer?,FTP (File Transfer Protocol),SMTP,TCP,HTTP,FTP (File Transfer Protocol),Lucent
GK,General,Standard MCQ,Who is the writer of Mahabharata?,Kalidas,Tulsidas,Valmiki,Ved Vyas,Ved Vyas,Lucent
GK,Sports,Standard MCQ,Deodhar Trophy is related to which sport?,Cricket,Tennis,Football,Hockey,Cricket,Lucent
GK,History,Standard MCQ,Who invented x-rays?,Alexander Fleming,Conrad Rontgen (Wilhelm Conrad Röntgen),Thomas Edison,Marie Curie,Conrad Rontgen (Wilhelm Conrad Röntgen),Lucent
GK,Geography,Standard MCQ,Zojila pass is in which state?,Ladakh,Uttarakhand,Himachal Pradesh,Jammu & Kashmir,Ladakh,Lucent
GK,History,Standard MCQ,"Who invented ""Telegraph""?",Samuel Morse,Guglielmo Marconi,Thomas Edison,Alexander Graham Bell,Samuel Morse,Lucent
GK,Geography,Standard MCQ,Rajiv Gandhi died in which state?,Tamil Nadu,Andhra Pradesh,Kerala,Karnataka,Tamil Nadu,Lucent
GK,Geography,Standard MCQ,What is the capital of Maldives?,Colombo,Kathmandu,Dhaka,Male,Male,Lucent
GK,General,Standard MCQ,What is the currency of Myanmar?,Kyat,Baht,Rupee,Taka,Kyat,Lucent
GK,Geography,Standard MCQ,What is the finance capital of India?,Mumbai,Delhi,Chennai,Kolkata,Mumbai,Lucent
GK,General,Standard MCQ,Who is known as the father of 'Economy'?,Alfred Marshall,Karl Marx,Adam Smith,John Keynes,Adam Smith,Lucent
GK,History,Standard MCQ,Who is the founder of Chola Dynasty?,Vijayalaya,Rajendra I,Aditya I,Rajaraja I,Vijayalaya,Lucent
GK,General,Standard MCQ,What is the national language of Bangladesh?,Hindi,Bengali,English,Urdu,Bengali,Lucent
GK,General,Standard MCQ,What is used in Electric Heater?,Iron,Copper,Tungsten,Nichrome,Nichrome,Lucent
